POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs,Season
93,Jacques Kallis,RR,Sawai Mansingh Stadium,2011-04-15,46,2,7,80,2011
94,Subramaniam Badrinath,KXIP,IS Bindra Stadium,2011-04-13,46,0,8,66,2011
95,Tillakaratne Dilshan,MI,M. Chinnaswamy Stadium,2011-04-12,49,2,4,59,2011
1,Robin Uthappa,KXIP,M. Chinnaswamy Stadium,2010-03-16,19,4,4,51,2010
2,Yusuf Pathan,MI,Brabourne Stadium,2010-03-13,21,8,9,100,2010
3,Virender Sehwag,RR,Sardar Patel Stadium,2010-03-15,21,5,8,75,2010
4,Shane Watson,CSK,Chidambaram,2010-04-03,21,5,5,60,2010
5,Virender Sehwag,CSK,Feroz Shah Kotla Ground,2010-03-19,22,3,10,74,2010
6,Robin Uthappa,KKR,M. Chinnaswamy Stadium,2010-04-10,22,4,4,50,2010
7,Yusuf Pathan,DEC,Sardar Patel Stadium,2010-03-26,23,8,2,73,2010
8,Sachin Tendulkar,DC,Feroz Shah Kotla Ground,2010-03-17,23,0,11,63,2010
9,Matthew Hayden,DC,Feroz Shah Kotla Ground,2010-03-19,24,7,9,93,2010
10,Suresh Raina,KKR,Chidambaram,2010-04-13,24,3,11,78,2010
11,Kevin Pietersen,RR,Sawai Mansingh Stadium,2010-04-14,24,2,10,62,2010
12,Suresh Raina,MI,DY Patil Stadium,2010-04-25,24,3,3,57,2010
13,Andrew Symonds,RCB,M. Chinnaswamy Stadium,2010-04-08,24,3,5,53,2010
14,Irfan Pathan,DEC,Barabati Stadium,2010-03-19,25,5,3,60,2010
15,David Warner,DEC,Barabati Stadium,2010-03-21,25,4,4,57,2010
16,Mahela Jayawardene,KKR,Eden Gardens,2010-04-04,26,3,14,110,2010
17,Albie Morkel,RR,Chidambaram,2010-04-03,26,5,3,62,2010
18,Andrew Symonds,DC,Feroz Shah Kotla Ground,2010-04-18,26,5,3,54,2010
19,Michael Lumb,KXIP,Sawai Mansingh Stadium,2010-04-07,28,2,16,83,2010
20,MS Dhoni,KKR,Eden Gardens,2010-03-16,28,3,6,66,2010
21,Ambati Rayudu,DEC,Brabourne Stadium,2010-04-03,28,2,6,55,2010
22,Manoj Tiwary,RCB,Eden Gardens,2010-03-14,28,2,6,50,2010
23,David Warner,KKR,Feroz Shah Kotla Ground,2010-03-29,29,5,9,107,2010
24,Murali Vijay,RCB,Chidambaram,2010-03-31,29,6,4,78,2010
25,Shane Watson,DEC,Vidarbha Cricket Association Stadium,2010-04-05,29,3,3,58,2010
26,MS Dhoni,KXIP,HPCA Stadium,2010-04-18,29,2,5,54,2010
27,Kedar Jadhav,RCB,M. Chinnaswamy Stadium,2010-03-25,29,2,5,50,2010
28,Murali Vijay,RR,Chidambaram,2010-04-03,30,11,8,127,2010
29,Naman Ojha,CSK,Chidambaram,2010-04-03,30,6,8,94,2010
30,Chris Gayle,KXIP,Eden Gardens,2010-04-04,30,8,6,88,2010
31,Dinesh Karthik,RR,Feroz Shah Kotla Ground,2010-03-31,30,4,6,69,2010
32,Ambati Rayudu,RR,Brabourne Stadium,2010-03-13,30,2,6,55,2010
33,Adam Gilchrist,KKR,DY Patil Stadium,2010-03-12,30,3,3,54,2010
34,Saurabh Tiwary,RR,Brabourne Stadium,2010-03-13,30,2,4,53,2010
