Date,Ground / Location,Match Number,Team A,Team B,winner,Wins By Runs,Wins By Wickets,Season
2015-04-20,Delhi,17th Match, Delhi Capitals , Kolkata Knight Riders,Kolkata Knight Riders,0,6,2015
2015-04-21,Ahmedabad,18th Match, Rajasthan Royals , Kings XI Punjab,Kings XI Punjab,0,0,2015
2015-04-22,Visakhapatnam,19th Match, Sunrisers Hyderabad , Kolkata Knight Riders,Sunrisers Hyderabad,16,0,2015
2015-04-22,"Bengaluru, Bangalore",20th Match, Royal Challengers Bangalore , Chennai Super Kings,Chennai Super Kings,27,0,2015
2015-04-23,Delhi,21st Match, Delhi Capitals , Mumbai Indians,Delhi Capitals,37,0,2015
2015-04-24,Ahmedabad,22nd Match, Rajasthan Royals , Royal Challengers Bangalore,Royal Challengers Bangalore,0,9,2015
2015-04-25,Mumbai,23rd Match, Mumbai Indians , Sunrisers Hyderabad,Mumbai Indians,20,0,2015
2015-04-25,Chennai,24th Match, Chennai Super Kings , Kings XI Punjab,Chennai Super Kings,97,0,2015
2015-04-26,Kolkata,25th Match, Kolkata Knight Riders , Rajasthan Royals,Match abandoned,0,0,2015
2015-04-26,Delhi,26th Match, Delhi Capitals , Royal Challengers Bangalore,Royal Challengers Bangalore,0,10,2015
2015-04-27,"Mohali, Chandigarh",27th Match, Kings XI Punjab , Sunrisers Hyderabad,Sunrisers Hyderabad,20,0,2015
2015-04-28,Chennai,28th Match, Chennai Super Kings , Kolkata Knight Riders,Chennai Super Kings,2,0,2015
2015-04-29,"Bengaluru, Bangalore",29th Match, Royal Challengers Bangalore , Rajasthan Royals,No result,0,0,2015
2015-04-30,Kolkata,30th Match, Kolkata Knight Riders , Chennai Super Kings,Kolkata Knight Riders,0,7,2015
2015-01-05,Delhi,31st Match, Delhi Capitals , Kings XI Punjab,Delhi Capitals,0,9,2015
2015-01-05,Mumbai,32nd Match, Mumbai Indians , Rajasthan Royals,Mumbai Indians,8,0,2015
2015-02-05,"Bengaluru, Bangalore",33rd Match, Royal Challengers Bangalore , Kolkata Knight Riders,Royal Challengers Bangalore,0,7,2015
2015-02-05,Hyderabad,34th Match, Sunrisers Hyderabad , Chennai Super Kings,Sunrisers Hyderabad,22,0,2015
2015-03-05,"Mohali, Chandigarh",35th Match, Kings XI Punjab , Mumbai Indians,Mumbai Indians,23,0,2015
2015-03-05,Mumbai,36th Match, Rajasthan Royals , Delhi Capitals,Rajasthan Royals,14,0,2015
2015-04-05,Chennai,37th Match, Chennai Super Kings , Royal Challengers Bangalore,Chennai Super Kings,24,0,2015
2015-04-05,Kolkata,38th Match, Kolkata Knight Riders , Sunrisers Hyderabad,Kolkata Knight Riders,35,0,2015
2015-05-05,Mumbai,39th Match, Mumbai Indians , Delhi Capitals,Mumbai Indians,0,5,2015
2015-06-05,"Bengaluru, Bangalore",40th Match, Royal Challengers Bangalore , Kings XI Punjab,Royal Challengers Bangalore,138,0,2015
2015-07-05,Mumbai,41st Match, Rajasthan Royals , Sunrisers Hyderabad,Sunrisers Hyderabad,7,0,2015
2015-07-05,Kolkata,42nd Match, Kolkata Knight Riders , Delhi Capitals,Kolkata Knight Riders,13,0,2015
2015-08-05,Chennai,43rd Match, Chennai Super Kings , Mumbai Indians,Mumbai Indians,0,6,2015
2015-09-05,Kolkata,44th Match, Kolkata Knight Riders , Kings XI Punjab,Kolkata Knight Riders,0,1,2015
2015-09-05,Raipur,45th Match, Delhi Capitals , Sunrisers Hyderabad,Sunrisers Hyderabad,6,0,2015
2015-10-05,Mumbai,46th Match, Mumbai Indians , Royal Challengers Bangalore,Royal Challengers Bangalore,39,0,2015
2015-10-05,Chennai,47th Match, Chennai Super Kings , Rajasthan Royals,Chennai Super Kings,12,0,2015
2015-11-05,Hyderabad,48th Match, Sunrisers Hyderabad , Kings XI Punjab,Sunrisers Hyderabad,5,0,2015
2015-12-05,Raipur,49th Match, Delhi Capitals , Chennai Super Kings,Delhi Capitals,0,6,2015
2015-05-13,"Mohali, Chandigarh",50th Match, Kings XI Punjab , Royal Challengers Bangalore,Kings XI Punjab,22,0,2015
2015-05-14,Mumbai,51st Match, Mumbai Indians , Kolkata Knight Riders,Mumbai Indians,5,0,2015
2015-05-15,Hyderabad,52nd Match, Sunrisers Hyderabad , Royal Challengers Bangalore,Royal Challengers Bangalore,0,6,2015
2015-05-16,"Mohali, Chandigarh",53rd Match, Kings XI Punjab , Chennai Super Kings,Chennai Super Kings,0,7,2015
2015-05-16,Mumbai,54th Match, Rajasthan Royals , Kolkata Knight Riders,Rajasthan Royals,9,0,2015
2015-05-17,"Bengaluru, Bangalore",55th Match, Royal Challengers Bangalore , Delhi Capitals,No result,0,0,2015
2015-05-17,Hyderabad,56th Match, Sunrisers Hyderabad , Mumbai Indians,Mumbai Indians,0,9,2015
2015-05-19,Mumbai,1st Qualifying Final, Chennai Super Kings , Mumbai Indians,Mumbai Indians,25,0,2015
2015-05-20,Pune,1st Elimination Final, Royal Challengers Bangalore , Rajasthan Royals,Royal Challengers Bangalore,71,0,2015
2015-05-22,Ranchi,2nd Qualifying Final, Chennai Super Kings , Royal Challengers Bangalore,Chennai Super Kings,0,3,2015
