POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,Nationality,Player Link,Team,Dots,Maid,Season
58,Washington Sundar,7,7,20.0,192,4,0,48.0,9.6,30.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/2973/washington-sundar,Royal Challengers Bangalore,29.0,0.0,2018
59,Barinder Sran,6,6,22.0,229,4,0,57.25,10.4,33.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/2746/barinder-sran,Kings Xi Punjab,47.0,0.0,2018
60,Avesh Khan,6,6,19.0,204,4,0,51.0,10.73,28.5,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/1561/avesh-khan,Delhi Capitals,44.0,0.0,2018
61,Moeen Ali,5,5,13.1,97,3,0,32.33,7.36,26.33,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/1735/moeen-ali,Royal Challengers Bangalore,27.0,0.0,2018
62,Murugan Ashwin,2,2,7.0,53,3,0,17.66,7.57,14.0,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/3187/murugan-ashwin,Royal Challengers Bangalore,20.0,0.0,2018
63,Axar Patel,9,8,26.0,218,3,0,72.66,8.38,52.0,0,0,Indian,https://www.iplt20.com/teams/kings-xi-punjab/squad/1113/axar-patel,Kings Xi Punjab,41.0,0.0,2018
64,Chris Morris,4,4,14.0,143,3,0,47.66,10.21,28.0,0,0,Overseas,https://www.iplt20.com/teams/delhi-capitals/squad/836/chris-morris,Delhi Capitals,31.0,0.0,2018
65,Mohammad Shami,4,4,13.5,144,3,0,48.0,10.4,27.66,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/94/mohammad-shami,Delhi Capitals,28.0,0.0,2018
66,Shahbaz Nadeem,6,6,15.0,161,3,0,53.66,10.73,30.0,0,0,Indian,https://www.iplt20.com/teams/delhi-capitals/squad/57/shahbaz-nadeem,Delhi Capitals,21.0,0.0,2018
67,Marcus Stoinis,7,6,11.0,120,3,0,40.0,10.9,22.0,0,0,Overseas,https://www.iplt20.com/teams/kings-xi-punjab/squad/964/marcus-stoinis,Kings Xi Punjab,15.0,0.0,2018
68,KM Asif,2,2,6.0,75,3,0,25.0,12.5,12.0,0,0,Indian,https://www.iplt20.com/teams/chennai-super-kings/squad/4944/km-asif,Chennai Super Kings,16.0,0.0,2018
69,Corey Anderson,3,3,8.4,115,3,0,38.33,13.26,17.33,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/968/corey-anderson,Royal Challengers Bangalore,16.0,0.0,2018
70,Colin de Grandhomme,9,7,15.0,129,2,0,64.5,8.6,45.0,0,0,Overseas,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/820/colin-de-grandhomme,Royal Challengers Bangalore,26.0,0.0,2018
71,David Willey,3,3,10.0,95,2,0,47.5,9.5,30.0,0,0,Overseas,https://www.iplt20.com/teams/chennai-super-kings/squad/2758/david-willey,Chennai Super Kings,20.0,0.0,2018
72,Kulwant Khejroliya,3,3,10.5,107,2,0,53.5,9.87,32.5,0,0,Indian,https://www.iplt20.com/teams/royal-challengers-bangalore/squad/3835/kulwant-khejroliya,Royal Challengers Bangalore,18.0,0.0,2018
73,Ben Cutting,9,7,17.0,168,2,0,84.0,9.88,51.0,0,0,Overseas,https://www.iplt20.com/teams/mumbai-indians/squad/913/ben-cutting,Mumbai Indians,24.0,0.0,2018
74,Mitchell Johnson,6,6,21.0,216,2,0,108.0,10.28,63.0,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/213/mitchell-johnson,Kolkata Knight Riders,46.0,0.0,2018
75,Javon Searles,4,3,7.0,89,2,0,44.5,12.71,21.0,0,0,Overseas,https://www.iplt20.com/teams/kolkata-knight-riders/squad/4960/javon-searles,Kolkata Knight Riders,7.0,0.0,2018
76,Vinay Kumar,2,2,3.5,65,2,0,32.5,16.95,11.5,0,0,Indian,https://www.iplt20.com/teams/kolkata-knight-riders/squad/166/vinay-kumar,Kolkata Knight Riders,8.0,0.0,2018
77,D'Arcy Short,7,2,3.0,19,1,0,19.0,6.33,18.0,0,0,Overseas,0,Nan,8.0,0.0,2018
